Column1,productname,productsubname,productprice,productactualprice,Discount
381,Star Wars: Mandalorian,Oversized T-Shirts,799,999,20.02%
382,TSS Originals: Emotional Support,Oversized T-Shirts,699,999,30.03%
383,Spider-Man: Saving The Spider-Verse,Hooded T-Shirts,1499,1499,0.00%
384,Squid Game: Let's Play,Oversized T-Shirts,1049,1049,0.00%
385,TSS Originals: Unleash The Dragon,Oversized T-Shirts,899,899,0.00%
386,Peanuts: Favorite Dog,T-Shirts,799,799,0.00%
387,Solids: Apricot,Polos,649,999,35.04%
388,Solids: Sailor,Polos,1049,1049,0.00%
389,TSS Originals: Positivi-Tea,T-Shirts,699,699,0.00%
390,Garfield: Smile,Oversized T-Shirts,1049,1049,0.00%
391,The Office: Michael Scott,Oversized T-Shirts,1299,1299,0.00%
392,TSS Originals: Real Life Story,Oversized T-Shirts,1399,1399,0.00%
393,Solids: Dusty Peach,Mandarin Polos,899,899,0.00%
394,Solids: Warm Grey,T-Shirts,799,799,0.00%
